sport,indicator,value,unit,year,used_in_model,quality,source,url,note
Cricket,audience_base,612.0,million people,2023-24,1,High,Ormax Sports Audience Report 2024,https://www.ormaxmedia.com/insights/stories/678-million-sports-audiences-in-india-game-on.html,"Sports audience = watched sports on TV/OTT for 30+ min in last year; survey of 12,000 people. One summary lists 650M; official Ormax page and most outlets say 612M."
Kabaddi,audience_base,280.0,million people,2023-24,1,High,Ormax Sports Audience Report 2024 (official page),https://www.ormaxmedia.com/insights/stories/678-million-sports-audiences-in-india-game-on.html,"Some outlets print 208M (likely transposition). Official Ormax page says 280M, so 280 is used. Both rank kabaddi 3rd."
Kabaddi,audience_base_alt,208.0,million people,2023-24,0,Low,Exchange4media / Indian Television (reporting Ormax),https://www.exchange4media.com/marketing-news/india-has-678-million-sports-audiences-ormax-report-133273.html,Conflicting report; not used (kept for the data-cleaning log).
Football,audience_base,305.0,million people,2023-24,1,High,Ormax Sports Audience Report 2024,https://www.ormaxmedia.com/insights/stories/678-million-sports-audiences-in-india-game-on.html,
Hockey,audience_base,154.0,million people,2023-24,1,Medium,Khel Now (reporting Ormax 2024),https://khelnow.com/olympics/most-followed-sports-in-india-202403,Secondary report of Ormax figures.
Badminton,audience_base,145.0,million people,2023-24,1,Medium,Khel Now (reporting Ormax 2024),https://khelnow.com/olympics/most-followed-sports-in-india-202403,Secondary report of Ormax figures.
Running,audience_base,,million people,,1,,Not measured by Ormax (TV/OTT-based definition),,"MISSING: running is a participation sport, so a TV/OTT audience base is not comparable. Handled in preprocessing (see log)."
Cricket,ipl_tv_reach_2025,537.0,million people,2025,0,Medium,JioStar 'TATA IPL 2025: A Year of Firsts' report,https://www.jiostar.com/news/from-stadiums-to-screens-jiostars-tata-ipl-2025-a-year-of-firsts-report-highlights-how-a-billion-viewers-came-together-to-celebrate-cricket/,Plus 652M digital reach (broadcaster-reported).
Cricket,share_of_sponsorship_spend,81.0,percent,2025,0,Medium,WPP Media / GroupM ESP Sporting Nation 2025,https://www.wppmedia.com/news/sporting-nation-india-sports-sponsorship-report-2025,Cricket also 89% of total industry revenue in 2025.
Kabaddi,pkl_tv_reach_s8,184.0,million people,2021-22,0,Medium,BARC as reported by Leaders in Sport,https://leadersinsport.com/sport-business/leaders-events/leaders-sport-awards/2025-shortlist/from-mud-to-mat-transforming-kabaddi-into-indias-fastest-growing-sport/,
Kabaddi,pkl_tv_reach_s10,225.0,million people,2023,0,Medium,BARC as reported by Leaders in Sport,https://leadersinsport.com/sport-business/leaders-events/leaders-sport-awards/2025-shortlist/from-mud-to-mat-transforming-kabaddi-into-indias-fastest-growing-sport/,
Kabaddi,pkl_tv_reach_s11,201.0,million people,2024,0,Medium,BARC as reported by Leaders in Sport,https://leadersinsport.com/sport-business/leaders-events/leaders-sport-awards/2025-shortlist/from-mud-to-mat-transforming-kabaddi-into-indias-fastest-growing-sport/,Down from S10 but most-watched non-cricket league of 2024.
Football,isl_unique_viewership_2024_25,157.2,million people,2024-25,0,Medium,"YouGov, 'The beautiful game in India'",https://yougov.com/articles/52245-the-beautiful-game-in-india,+18% vs previous season.
Football,isl_tv_reach_2018_19,168.0,million people,2018-19,0,Medium,BARC as reported in Business Standard,https://www.pressreader.com/india/business-standard/20191030/282106343434331,
Football,isl_tv_reach_2023,81.0,million people,2023,0,Medium,GroupM via Statista,https://www.statista.com/statistics/1416957/india-isl-reach-by-team-television/,TV reach roughly halved between 2018-19 and 2023 (supports lower risk_safety).
Running,tata_mumbai_marathon_participants,69000.0,participants,2026,0,Low,Aguante blog (trade summary),https://aguante.in/blogs/activewear-news/indias-running-community-grows-with-surge-in-major-marathons-and-events,"Also: Delhi Half 40,000+ (2025), Hyderabad 28,300 (2025), Ahmedabad 24,000+ (2025), TCS World 10K open category 16,000+ finishers (+21.5%)."
Cricket,ipl_title_sponsorship_cost_per_year,500,crore per year,2024-28,0,High,"ESPNcricinfo / BCCI: Tata Rs 2,500 cr for 2024-28",https://espncricinfo.com/story/tata-group-secures-ipl-title-sponsorship-rights-for-2024-28-for-inr-2500-crore-1417400,Cost cross-check only. About Rs 0.93 cr of title-sponsor price per million TV reach (537M).
Kabaddi,pkl_title_sponsorship_cost_per_year,60,crore per year,2017-21,0,Low,Exchange4media: Vivo deal pegged at Rs 275-300 cr over 5 years,https://www.exchange4media.com/marketing-news/vivo-to-sponsor-pro-kabaddi-leaguedeal-pegged-at-rs-275-300-crore-68709.html,"Cost cross-check only. DATED (2017): about Rs 0.30 cr per million TV reach (201M), roughly 3x cheaper than IPL; current price is probably higher."
Running,marathon_sponsorship_growth,15,percent,2024,0,Medium,Storyboard18: marathon sponsorships growing about 15% a year,https://www.storyboard18.com/amp/brand-makers/marathon-sponsorships-surge-by-15-brands-drive-engagement-48455.htm,"Growth cross-check only. Tata Mumbai Marathon expected about Rs 60 cr sponsorship revenue (Jan 2025). Sponsors include Fast&Up and Bisleri, so category clutter is a risk for a health-drink brand."
