criterion,change,top_sport,top_score
Audience reach,-50%,Running,87.7
Audience reach,+50%,Running,75.8
Audience-brand fit,-50%,Running,78.9
Audience-brand fit,+50%,Running,83.3
Fan engagement,-50%,Running,82.7
Fan engagement,+50%,Running,80.1
Image congruence,-50%,Running,79.4
Image congruence,+50%,Running,83.0
Cost efficiency,-50%,Running,78.9
Cost efficiency,+50%,Running,83.3
Growth trend,-50%,Running,80.6
Growth trend,+50%,Running,82.0
Risk safety,-50%,Running,80.9
Risk safety,+50%,Running,81.8
